type,annotations.gid,annotations.euid,annotations.children pid namespace,annotations.pid,annotations.seen time,annotations.source,annotations.net namespace,annotations.ipc namespace,annotations.ppid,annotations.pid namespace,annotations.uid,annotations.egid,annotations.exe,annotations.mount namespace,annotations.name,annotations.user namespace,annotations.path,annotations.subtype,annotations.permissions,annotations.epoch,annotations.version,annotations.memory address,annotations.size,annotations.tgid,annotations.start time,annotations.ns pid,annotations.read fd,annotations.write fd,annotations.cwd,annotations.command line,annotations.fd,annotations.root path
Artifact,,,,,,syscall,,,,,,,,,,,/etc/security/pam_env.conf,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/etc/environment,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/etc/default/locale,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/etc/login.defs,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/etc/passwd,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7fb20d8af000,967,2906,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/var/run/utmp,file,0664,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,unnamed pipe,,0,0,,,2906,,,5,6,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/proc/2981/fd,directory,0500,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/usr/bin/docker,file,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib64/ld-linux-x86-64.so.2,file,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/etc/ld.so.cache,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aac30000,13817,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libpthread.so.0,file,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aac2e000,2000,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa7fc000,21e480,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa816000,1ff000,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aaa15000,2000,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aaa17000,3480,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libdl.so.2,file,0644,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa5f8000,203110,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa5fb000,1ff000,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa7fa000,2000,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,/lib/x86_64-linux-gnu/libc.so.6,file,0755,0,0,,,,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa207000,3f0ae0,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa3ee000,200000,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa5ee000,6000,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aa5f4000,3ae0,2981,,,,,,,,
Artifact,,,,,,syscall,,,,,,,,,,,,memory,,,0,7f16aac2b000,3000,2981,,,,,,,,
